Wegiel_koks;5 658,90;1 685,00;2 557,30;9 901,20;57,20%;17,00%;25,80%
Rudy;534,2;0;1 684,50;2 218,70;24,10%;0,00%;75,90%
Inne masowe;4 533,60;1 564,20;3 139,90;9 237,70;49,10%;16,90%;34,00%
Zboze;1 499,10;5 430,70;1 875,70;8 805,50;17,00%;61,70%;21,30%
Drewno;11,9;101,8;104;217,7;5,50%;46,80%;47,80%
Drobnica;22 109,00;14 108,10;16 874,20;53 091,30;41,60%;26,60%;31,80%
w tym kontenery (TEU);1 923 785,00;b.d;86 816,00;b.d.;b.d.;b.d.;b.d.
tys. ton;19 953 663,00;b.d;b.d;b.d.;b.d.;b.d.;b.d.
Ropa i przetw. naftowe;13 691,60;1 772,20;4 941,90;20 405,70;67,10%;8,70%;24,20%
Razem;48 038,40;24 662,00;31 177,50;103 877,90;46,20%;23,70%;30,00%
